treatment,game,round,time,id,side,valuation,bid,price,match_id,match_time,type,status
FullMoreS,1,1,78,7,Seller,83,85,,,,Manual,Replaced
FullMoreS,1,1,79,9,Seller,88,95,,,,Manual,Expired
FullMoreS,1,1,79,17,Seller,108,145,,,,Manual,Expired
FullMoreS,1,1,80,15,Seller,103,105,,,,Manual,Replaced
FullMoreS,1,1,80,11,Seller,93,150,,,,Manual,Expired
FullMoreS,1,1,81,26,Seller,88,92,,,,Manual,Replaced
FullMoreS,1,1,81,21,Seller,118,120,,,,Manual,Expired
FullMoreS,1,1,82,7,Seller,83,85,,,,Manual,Replaced
FullMoreS,1,1,82,31,Seller,113,125,,,,Manual,Expired
FullMoreS,1,1,82,15,Seller,103,105,,,,Manual,Replaced
FullMoreS,1,1,84,19,Seller,113,114,,,,Manual,Expired
FullMoreS,1,1,85,15,Seller,103,105,,,,Manual,Replaced
FullMoreS,1,1,85,28,Seller,98,110,,,,Manual,Expired
FullMoreS,1,1,85,26,Seller,88,95,,,,Manual,Expired
FullMoreS,1,1,85,7,Seller,83,85,85.0,16.0,91.0,Manual,Accepted
FullMoreS,1,1,86,27,Seller,93,99,,,,Manual,Expired
FullMoreS,1,1,86,25,Seller,83,85,,,,Manual,Expired
FullMoreS,1,1,87,22,Buyer,103,79,79.0,3.0,87.0,Manual,Accepted
FullMoreS,1,1,87,13,Seller,98,100,,,,Manual,Replaced
FullMoreS,1,1,87,3,Seller,73,79,79.0,22.0,87.0,Auto,Accepted
FullMoreS,1,1,90,15,Seller,103,104,,,,Manual,Replaced
FullMoreS,1,1,91,11,Seller,93,120,,,,Manual,Replaced
FullMoreS,1,1,91,16,Buyer,118,85,85.0,7.0,91.0,Auto,Accepted
FullMoreS,1,1,95,26,Seller,88,94,,,,Manual,Replaced
FullMoreS,1,1,95,21,Seller,118,120,,,,Manual,Expired
FullMoreS,1,1,96,25,Seller,83,90,,,,Manual,Expired
FullMoreS,1,1,96,17,Seller,108,109,,,,Manual,Expired
FullMoreS,1,1,96,13,Seller,98,100,,,,Manual,Expired
FullMoreS,1,1,97,15,Seller,103,104,,,,Manual,Replaced
FullMoreS,1,1,97,18,Buyer,113,80,,,,Manual,Expired
FullMoreS,1,1,97,11,Seller,93,120,,,,Manual,Expired
FullMoreS,1,1,97,26,Seller,88,94,,,,Manual,Replaced
FullMoreS,1,1,97,9,Seller,88,95,,,,Manual,Expired
FullMoreS,1,1,99,26,Seller,88,94,,,,Manual,Expired
FullMoreS,1,1,99,15,Seller,103,104,,,,Manual,Expired
FullMoreS,1,2,2,26,Seller,88,94,,,,Manual,Replaced
FullMoreS,1,2,3,30,Seller,108,200,,,,Manual,Expired
FullMoreS,1,2,3,16,Buyer,118,30,,,,Manual,Replaced
FullMoreS,1,2,3,11,Seller,93,150,,,,Manual,Replaced
FullMoreS,1,2,3,7,Seller,83,100,,,,Manual,Replaced
FullMoreS,1,2,3,3,Seller,73,500,,,,Manual,Replaced
FullMoreS,1,2,3,19,Seller,113,120,,,,Manual,Expired
FullMoreS,1,2,3,17,Seller,108,250,,,,Manual,Expired
FullMoreS,1,2,4,24,Seller,78,83,,,,Manual,Expired
FullMoreS,1,2,4,31,Seller,113,140,,,,Manual,Replaced
FullMoreS,1,2,4,18,Buyer,113,70,,,,Manual,Expired
FullMoreS,1,2,4,21,Seller,118,120,,,,Manual,Expired
FullMoreS,1,2,4,15,Seller,103,105,,,,Manual,Replaced
FullMoreS,1,2,4,9,Seller,88,95,,,,Manual,Expired
FullMoreS,1,2,4,25,Seller,83,90,,,,Manual,Replaced
FullMoreS,1,2,4,27,Seller,93,120,,,,Manual,Expired
FullMoreS,1,2,5,26,Seller,88,95,,,,Manual,Replaced
FullMoreS,1,2,5,13,Seller,98,100,,,,Manual,Replaced
FullMoreS,1,2,6,20,Buyer,108,58,,,,Manual,Expired
FullMoreS,1,2,6,29,Seller,103,110,,,,Manual,Expired
FullMoreS,1,2,7,8,Buyer,138,44,,,,Manual,Expired
FullMoreS,1,2,7,28,Seller,98,180,,,,Manual,Expired
FullMoreS,1,2,8,15,Seller,103,105,,,,Manual,Replaced
FullMoreS,1,2,8,26,Seller,88,99,,,,Manual,Replaced
FullMoreS,1,2,8,7,Seller,83,100,,,,Manual,Expired
FullMoreS,1,2,9,22,Buyer,103,40,,,,Manual,Replaced
FullMoreS,1,2,9,10,Buyer,133,77,,,,Manual,Expired
FullMoreS,1,2,10,16,Buyer,118,70,,,,Manual,Replaced
FullMoreS,1,2,10,26,Seller,88,99,,,,Manual,Replaced
FullMoreS,1,2,10,6,Buyer,143,71,,,,Manual,Expired
FullMoreS,1,2,11,3,Seller,73,275,,,,Manual,Replaced
FullMoreS,1,2,11,15,Seller,103,105,,,,Manual,Replaced
FullMoreS,1,2,11,11,Seller,93,150,,,,Manual,Replaced
FullMoreS,1,2,11,25,Seller,83,90,,,,Manual,Replaced
FullMoreS,1,2,11,31,Seller,113,125,,,,Manual,Expired
FullMoreS,1,2,14,15,Seller,103,105,,,,Manual,Replaced
FullMoreS,1,2,14,26,Seller,88,98,,,,Manual,Replaced
FullMoreS,1,2,14,13,Seller,98,100,,,,Manual,Expired
FullMoreS,1,2,15,9,Seller,88,95,,,,Manual,Expired
FullMoreS,1,2,15,5,Seller,78,400,,,,Manual,Expired
FullMoreS,1,2,16,15,Seller,103,105,,,,Manual,Replaced
FullMoreS,1,2,16,32,Seller,118,200,,,,Manual,Expired
FullMoreS,1,2,16,26,Seller,88,95,,,,Manual,Replaced
FullMoreS,1,2,17,11,Seller,93,150,,,,Manual,Replaced
FullMoreS,1,2,17,22,Buyer,103,45,,,,Manual,Expired
FullMoreS,1,2,18,3,Seller,73,500,,,,Manual,Expired
FullMoreS,1,2,18,7,Seller,83,90,,,,Manual,Replaced
FullMoreS,1,2,18,24,Seller,78,82,82.0,16.0,19.0,Manual,Accepted
FullMoreS,1,2,18,15,Seller,103,105,,,,Manual,Replaced
FullMoreS,1,2,18,17,Seller,108,125,,,,Manual,Expired
FullMoreS,1,2,19,26,Seller,88,95,,,,Manual,Replaced
FullMoreS,1,2,19,25,Seller,83,86,86.0,12.0,23.0,Manual,Accepted
FullMoreS,1,2,19,16,Buyer,118,82,82.0,24.0,19.0,Auto,Accepted
FullMoreS,1,2,20,29,Seller,103,108,,,,Manual,Expired
FullMoreS,1,2,20,27,Seller,93,95,,,,Manual,Expired
FullMoreS,1,2,20,18,Buyer,113,70,,,,Manual,Replaced
FullMoreS,1,2,23,15,Seller,103,105,,,,Manual,Replaced
FullMoreS,1,2,23,31,Seller,113,128,,,,Manual,Expired
FullMoreS,1,2,23,11,Seller,93,120,,,,Manual,Expired
FullMoreS,1,2,23,12,Buyer,128,86,86.0,25.0,23.0,Auto,Accepted
FullMoreS,1,2,23,20,Buyer,108,58,,,,Manual,Expired
FullMoreS,1,2,27,26,Seller,88,90,,,,Manual,Replaced
FullMoreS,1,2,27,22,Buyer,103,50,,,,Manual,Expired
FullMoreS,1,2,27,7,Seller,83,90,90.0,6.0,30.0,Manual,Accepted
FullMoreS,1,2,28,18,Buyer,113,70,,,,Manual,Expired
FullMoreS,1,2,28,28,Seller,98,150,,,,Manual,Expired
FullMoreS,1,2,29,13,Seller,98,100,,,,Manual,Replaced
FullMoreS,1,2,29,15,Seller,103,105,,,,Manual,Replaced
FullMoreS,1,2,29,17,Seller,108,108,,,,Manual,Expired
FullMoreS,1,2,29,21,Seller,118,120,,,,Manual,Expired
FullMoreS,1,2,30,26,Seller,88,95,,,,Manual,Replaced
FullMoreS,1,2,30,6,Buyer,143,90,90.0,7.0,30.0,Auto,Accepted
FullMoreS,1,2,34,11,Seller,93,120,,,,Manual,Expired
FullMoreS,1,2,34,31,Seller,113,115,,,,Manual,Expired
FullMoreS,1,2,34,15,Seller,103,105,,,,Manual,Replaced
FullMoreS,1,2,34,30,Seller,108,500,,,,Manual,Expired
FullMoreS,1,2,35,26,Seller,88,90,,,,Manual,Replaced
FullMoreS,1,2,36,20,Buyer,108,60,,,,Manual,Expired
FullMoreS,1,2,36,10,Buyer,133,60,,,,Manual,Expired
FullMoreS,1,2,36,15,Seller,103,105,,,,Manual,Replaced
FullMoreS,1,2,36,26,Seller,88,95,,,,Manual,Replaced
FullMoreS,1,2,37,22,Buyer,103,60,,,,Manual,Expired
FullMoreS,1,2,37,13,Seller,98,98,,,,Manual,Replaced
FullMoreS,1,2,37,27,Seller,93,95,,,,Manual,Expired
FullMoreS,1,2,40,15,Seller,103,105,,,,Manual,Replaced
FullMoreS,1,2,41,19,Seller,113,113,,,,Manual,Expired
FullMoreS,1,2,41,18,Buyer,113,70,,,,Manual,Expired
FullMoreS,1,2,41,13,Seller,98,98,,,,Manual,Expired
FullMoreS,1,2,44,11,Seller,93,120,,,,Manual,Replaced
FullMoreS,1,2,44,3,Seller,73,500,,,,Manual,Expired
FullMoreS,1,2,45,15,Seller,103,105,,,,Manual,Replaced
FullMoreS,1,2,45,26,Seller,88,95,,,,Manual,Replaced
FullMoreS,1,2,45,21,Seller,118,119,,,,Manual,Expired
FullMoreS,1,2,47,26,Seller,88,94,,,,Manual,Replaced
FullMoreS,1,2,47,20,Buyer,108,60,,,,Manual,Expired
FullMoreS,1,2,47,15,Seller,103,105,,,,Manual,Replaced
FullMoreS,1,2,48,28,Seller,98,125,,,,Manual,Expired
FullMoreS,1,2,50,9,Seller,88,95,,,,Manual,Expired
FullMoreS,1,2,50,15,Seller,103,105,,,,Manual,Replaced
FullMoreS,1,2,51,11,Seller,93,120,,,,Manual,Expired
FullMoreS,1,2,52,18,Buyer,113,70,,,,Manual,Replaced
FullMoreS,1,2,53,15,Seller,103,105,,,,Manual,Replaced
FullMoreS,1,2,54,26,Seller,88,94,,,,Manual,Replaced
FullMoreS,1,2,54,22,Buyer,103,60,,,,Manual,Replaced
FullMoreS,1,2,54,8,Buyer,138,70,,,,Manual,Expired
FullMoreS,1,2,55,3,Seller,73,275,,,,Manual,Expired
FullMoreS,1,2,56,27,Seller,93,100,,,,Manual,Expired
FullMoreS,1,2,57,15,Seller,103,105,,,,Manual,Replaced
FullMoreS,1,2,58,26,Seller,88,94,,,,Manual,Replaced
FullMoreS,1,2,59,22,Buyer,103,65,,,,Manual,Expired
FullMoreS,1,2,59,30,Seller,108,500,,,,Manual,Expired
FullMoreS,1,2,60,20,Buyer,108,60,,,,Manual,Replaced
FullMoreS,1,2,60,18,Buyer,113,70,,,,Manual,Expired
FullMoreS,1,2,60,15,Seller,103,105,,,,Manual,Replaced
FullMoreS,1,2,60,21,Seller,118,120,,,,Manual,Expired
FullMoreS,1,2,61,5,Seller,78,200,,,,Manual,Expired
FullMoreS,1,2,61,13,Seller,98,98,,,,Manual,Expired
FullMoreS,1,2,63,26,Seller,88,94,,,,Manual,Replaced
FullMoreS,1,2,63,15,Seller,103,105,,,,Manual,Expired
FullMoreS,1,2,64,11,Seller,93,120,,,,Manual,Replaced
FullMoreS,1,2,64,9,Seller,88,95,,,,Manual,Expired
FullMoreS,1,2,65,28,Seller,98,115,,,,Manual,Expired
FullMoreS,1,2,66,26,Seller,88,94,,,,Manual,Replaced
FullMoreS,1,2,66,31,Seller,113,600,,,,Manual,Replaced
FullMoreS,1,2,69,20,Buyer,108,60,,,,Manual,Expired
FullMoreS,1,2,69,22,Buyer,103,70,,,,Manual,Replaced
FullMoreS,1,2,70,26,Seller,88,94,,,,Manual,Replaced
FullMoreS,1,2,70,17,Seller,108,109,,,,Manual,Expired
FullMoreS,1,2,70,18,Buyer,113,70,,,,Manual,Replaced
FullMoreS,1,2,70,11,Seller,93,120,,,,Manual,Replaced
FullMoreS,1,2,71,31,Seller,113,600,,,,Manual,Expired
FullMoreS,1,2,71,13,Seller,98,98,,,,Manual,Expired
FullMoreS,1,2,72,8,Buyer,138,80,80.0,23.0,72.0,Manual,Accepted
FullMoreS,1,2,72,23,Seller,73,80,80.0,8.0,72.0,Auto,Accepted
FullMoreS,1,2,76,3,Seller,73,125,,,,Manual,Expired
FullMoreS,1,2,76,18,Buyer,113,70,,,,Manual,Expired
FullMoreS,1,2,76,27,Seller,93,100,,,,Manual,Expired
FullMoreS,1,2,76,22,Buyer,103,78,78.0,5.0,81.0,Manual,Accepted
FullMoreS,1,2,77,19,Seller,113,113,,,,Manual,Expired
FullMoreS,1,2,77,11,Seller,93,120,,,,Manual,Expired
FullMoreS,1,2,78,26,Seller,88,94,,,,Manual,Replaced
FullMoreS,1,2,79,5,Seller,78,85,,,,Manual,Replaced
FullMoreS,1,2,80,20,Buyer,108,60,,,,Manual,Expired
FullMoreS,1,2,80,28,Seller,98,150,,,,Manual,Expired
FullMoreS,1,2,81,26,Seller,88,94,94.0,10.0,85.0,Manual,Accepted
FullMoreS,1,2,81,5,Seller,78,78,78.0,22.0,81.0,Auto,Accepted
FullMoreS,1,2,85,10,Buyer,133,94,94.0,26.0,85.0,Auto,Accepted
FullMoreS,1,2,85,21,Seller,118,800,,,,Manual,Replaced
FullMoreS,1,2,88,15,Seller,103,104,,,,Manual,Expired
FullMoreS,1,2,89,11,Seller,93,120,,,,Manual,Replaced
FullMoreS,1,2,90,18,Buyer,113,75,,,,Manual,Replaced
FullMoreS,1,2,90,29,Seller,103,108,,,,Manual,Expired
FullMoreS,1,2,90,9,Seller,88,95,,,,Manual,Expired
FullMoreS,1,2,90,13,Seller,98,98,,,,Manual,Expired
FullMoreS,1,2,92,21,Seller,118,120,,,,Manual,Expired
FullMoreS,1,2,92,27,Seller,93,95,,,,Manual,Expired
FullMoreS,1,2,92,20,Buyer,108,60,,,,Manual,Expired
FullMoreS,1,2,93,3,Seller,73,500,,,,Manual,Replaced
FullMoreS,1,2,95,11,Seller,93,120,,,,Manual,Replaced
FullMoreS,1,2,97,30,Seller,108,500,,,,Manual,Expired
FullMoreS,1,2,98,18,Buyer,113,75,75.0,3.0,101.0,Manual,Accepted
FullMoreS,1,2,100,11,Seller,93,120,,,,Manual,Expired
FullMoreS,1,2,100,15,Seller,103,105,,,,Manual,Expired
FullMoreS,1,2,100,19,Seller,113,500,,,,Manual,Expired
FullMoreS,1,2,101,3,Seller,73,75,75.0,18.0,101.0,Auto,Accepted
FullMoreS,1,3,2,16,Buyer,118,75,,,,Manual,Expired
FullMoreS,1,3,2,11,Seller,93,100,,,,Manual,Replaced
FullMoreS,1,3,2,3,Seller,73,500,,,,Manual,Expired
FullMoreS,1,3,3,18,Buyer,113,70,,,,Manual,Replaced
FullMoreS,1,3,3,17,Seller,108,120,,,,Manual,Expired
FullMoreS,1,3,3,26,Seller,88,99,,,,Manual,Replaced
FullMoreS,1,3,3,19,Seller,113,200,,,,Manual,Expired
FullMoreS,1,3,3,24,Seller,78,84,,,,Manual,Expired
FullMoreS,1,3,3,31,Seller,113,200,,,,Manual,Replaced
FullMoreS,1,3,3,5,Seller,78,100,,,,Manual,Expired
FullMoreS,1,3,3,15,Seller,103,105,,,,Manual,Replaced
FullMoreS,1,3,4,27,Seller,93,100,,,,Manual,Expired
FullMoreS,1,3,4,25,Seller,83,120,,,,Manual,Replaced
FullMoreS,1,3,5,7,Seller,83,100,,,,Manual,Expired
FullMoreS,1,3,5,28,Seller,98,200,,,,Manual,Expired
FullMoreS,1,3,5,29,Seller,103,110,,,,Manual,Replaced
FullMoreS,1,3,5,10,Buyer,133,65,,,,Manual,Expired
FullMoreS,1,3,6,21,Seller,118,120,,,,Manual,Expired
FullMoreS,1,3,6,18,Buyer,113,75,,,,Manual,Expired
FullMoreS,1,3,6,22,Buyer,103,65,,,,Manual,Expired
FullMoreS,1,3,7,15,Seller,103,105,,,,Manual,Replaced
FullMoreS,1,3,7,32,Seller,118,300,,,,Manual,Expired
FullMoreS,1,3,8,6,Buyer,143,76,,,,Manual,Replaced
FullMoreS,1,3,8,8,Buyer,138,69,,,,Manual,Expired
FullMoreS,1,3,9,15,Seller,103,105,,,,Manual,Replaced
FullMoreS,1,3,10,30,Seller,108,200,,,,Manual,Expired
FullMoreS,1,3,10,25,Seller,83,100,,,,Manual,Replaced
FullMoreS,1,3,10,31,Seller,113,250,,,,Manual,Replaced
FullMoreS,1,3,11,11,Seller,93,100,,,,Manual,Replaced
FullMoreS,1,3,11,20,Buyer,108,77,,,,Manual,Expired
FullMoreS,1,3,11,9,Seller,88,95,,,,Manual,Expired
FullMoreS,1,3,11,13,Seller,98,98,,,,Manual,Expired
FullMoreS,1,3,11,29,Seller,103,108,,,,Manual,Expired
FullMoreS,1,3,11,15,Seller,103,105,,,,Manual,Replaced
FullMoreS,1,3,12,26,Seller,88,99,,,,Manual,Replaced
FullMoreS,1,3,13,15,Seller,103,105,,,,Manual,Expired
FullMoreS,1,3,14,19,Seller,113,114,,,,Manual,Expired
FullMoreS,1,3,15,11,Seller,93,111,,,,Manual,Replaced
FullMoreS,1,3,15,26,Seller,88,99,,,,Manual,Replaced
FullMoreS,1,3,15,25,Seller,83,99,,,,Manual,Expired
FullMoreS,1,3,16,6,Buyer,143,78,78.0,23.0,21.0,Manual,Accepted
FullMoreS,1,3,17,31,Seller,113,300,,,,Manual,Replaced
FullMoreS,1,3,17,22,Buyer,103,65,,,,Manual,Replaced
FullMoreS,1,3,18,18,Buyer,113,75,,,,Manual,Replaced
FullMoreS,1,3,18,5,Seller,78,85,,,,Manual,Expired
FullMoreS,1,3,19,11,Seller,93,100,,,,Manual,Replaced
FullMoreS,1,3,19,31,Seller,113,200,,,,Manual,Expired
FullMoreS,1,3,20,26,Seller,88,99,,,,Manual,Replaced
FullMoreS,1,3,21,16,Buyer,118,76,,,,Manual,Replaced
FullMoreS,1,3,21,3,Seller,73,300,,,,Manual,Expired
FullMoreS,1,3,21,21,Seller,118,375,,,,Manual,Expired
FullMoreS,1,3,21,23,Seller,73,78,78.0,6.0,21.0,Auto,Accepted
FullMoreS,1,3,21,27,Seller,93,93,,,,Manual,Expired
FullMoreS,1,3,25,22,Buyer,103,67,,,,Manual,Expired
FullMoreS,1,3,25,26,Seller,88,99,,,,Manual,Replaced
FullMoreS,1,3,25,28,Seller,98,150,,,,Manual,Expired
FullMoreS,1,3,25,25,Seller,83,92,,,,Manual,Replaced
FullMoreS,1,3,25,20,Buyer,108,80,80.0,5.0,31.0,Manual,Accepted
FullMoreS,1,3,26,18,Buyer,113,75,,,,Manual,Expired
FullMoreS,1,3,26,11,Seller,93,100,,,,Manual,Replaced
FullMoreS,1,3,27,16,Buyer,118,78,,,,Manual,Expired
